id,listing_type,property_type,price,location_city,location_city_district,area_property,area_land,construction_type,num_floors_building,apartment_floor,registered,heating_type,num_rooms,num_bathrooms,source
7859,s,h,31000.0,nis,okolne lokacije,50.0,12.0,,,,False,,,1.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/trupale/58b7f46a7ce3af284b6dccfa
7860,s,h,35000.0,nis,okolne lokacije,45.0,0.12,,,,False,,,1.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/knez-selo/58b7f46a7ce3af284b6dccfd
7861,s,h,145000.0,nis,medijana,315.0,2.0,,,,False,,,1.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/duvaniste/59e682e37ce3af21751ed155
7862,s,h,63000.0,nis,okolne lokacije,150.0,10.0,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/toponica/5a5cdd32adb114151633b1c2
7863,s,h,249000.0,nis,pantelej,300.0,2.5,,,,False,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/durlan/5ae317a5adb1145f3e3001f2
7864,s,h,77000.0,nis,pantelej,146.0,2.0,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/durlan/5b1e5895adb11458695ee799
7865,s,h,155000.0,nis,medijana,300.0,3.0,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/park-svetog-save/5b4cb3f2ad850233151800ab
7866,s,h,42000.0,beograd,vracar,35.0,,,,,True,Struja,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/cerska/5da89b3a273171754267fed3
7867,s,h,71000.0,adamovicevo naselje,novi sad,300.0,5.0,,,,True,,,3.0,https://www.4zida.rs/prodaja/kuce/sabac-opstina/oglas/zivinarnik/5f0dd0840c7cde2b2b484ed0
7868,s,h,73000.0,beograd,mladenovac,120.0,26.0,1986,,,True,TA peć,,2.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/bunarska/5e62b2870c7cde18970f6a85
7869,s,h,35000.0,novi sad,telep,130.0,380.0,,,,True,Struja,,2.0,https://www.4zida.rs/prodaja/kuce/subotica-opstina/oglas/mali-bajmok/5ecff3db9a30917fe941cc9a
7870,s,h,53000.0,beograd,sopot,120.0,8300.0,1931,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/janka-sekulica/5f41180b78c4c32f604ff403
7871,s,h,78000.0,beograd,novi beograd,96.0,,2019,,,True,Podno,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/savski-kej/5d3f6e62e466e62cc4092ef4
7872,s,h,400000.0,zlatibor,zlatibor opstina,500.0,,,,,True,,,8.0,https://www.4zida.rs/prodaja/kuce/zlatibor-opstina/oglas/narcisa-10/5a0c17dd70baeb0e2d53ff02
7873,s,h,67000.0,pecinci,pecinci opstina,450.0,,,,,True,Etažno,,4.0,https://www.4zida.rs/prodaja/kuce/vrnjacka-banja-opstina/oglas/raj/5f4119f79a309166e2278f8a
7874,s,h,250000.0,beograd,,270.0,5.5,1994,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/bosanska-86/5ca3a04c9a30911b16628850
7875,s,h,50000.0,sremska mitrovica,sremska mitrovica opstina,180.0,9.0,,,,True,Gas,,1.0,https://www.4zida.rs/prodaja/kuce/sremska-mitrovica-opstina/oglas/20-jula/5b054322b70c591e50032452
7876,s,h,340000.0,novi sad,,380.0,,,,,True,Etažno,,4.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/branka-copica-1/58b7d5787ce3af116c5317aa
7877,s,h,65000.0,beograd,cukarica,220.0,,,,,False,,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/gradine-i/5daf00d62731711481615282
